name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
GLOUCESTER CIRCUS GARDEN COMMITTEE,12079.44,01/04/2016,Chief Executives,Gloucester Circus Levy
REDACTED PERSONAL INFORMATION,669,01/04/2016,Housing Services HRA,Miscellaneous
DEPARTMENT OF WORKS & PENSIONS,829,04/04/2016,Corporate,Insurance Claims
DWP FOR WORK & PENSIONS,637,04/04/2016,Corporate,Insurance Claims
HER MAJESTY`S COURTS SERVICE,6747,04/04/2016,Chief Executives,Court Costs Summons Fees
REDACTED PERSONAL INFORMATION,2493.11,05/04/2016,Health and Adult Services,ISF Personal Care
REDACTED PERSONAL INFORMATION,578.24,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,6200,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3653.35,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3653.35,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,3631.34,05/04/2016,Childrens Services,Agency Placements
MEARS HOMECARE LTD,862.72,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,2710.78,05/04/2016,Childrens Services,Agency Placements
MEARS HOMECARE LTD,871.96,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
MEARS HOMECARE LTD,876.12,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
MEARS HOMECARE LTD,876.12,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,1504.69,05/04/2016,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,14413,05/04/2016,Childrens Services,Secure Accommodation
REDACTED PERSONAL INFORMATION,960,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,575.04,05/04/2016,Childrens Services,Transport For Children
16 PLUS TEAM LTD T/A THE ARTEMIS TEAM LTD,540,05/04/2016,Childrens Services,Section 17
REDACTED PERSONAL INFORMATION,8675.94,05/04/2016,Health and Adult Services,Supported Living
REDACTED PERSONAL INFORMATION,1718.63,05/04/2016,Health and Adult Services,Services Private Contractor
CHRYSALIS CARE (FOSTERING) LTD,3697.99,05/04/2016,Childrens Services,Agency Placements
BEST VALUE HOME CARE SERVICES UK LTD,640.92,05/04/2016,Health and Adult Services,ISF Personal Care
BEST VALUE HOME CARE SERVICES UK LTD,1831.2,05/04/2016,Health and Adult Services,ISF Personal Care
REDACTED PERSONAL INFORMATION,866.67,05/04/2016,Childrens Services,Agency Placements
BEST VALUE HOME CARE SERVICES UK LTD,1594.6,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,3705,05/04/2016,Childrens Services,Agency Placements
BEST VALUE HOME CARE SERVICES UK LTD,883.84,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
SYNERGY FOSTERING LIMITED,3441,05/04/2016,Childrens Services,Agency Placements
ISP CENTRAL OFFICE,540,05/04/2016,Childrens Services,Children Looked After
REDACTED PERSONAL INFORMATION,905.16,05/04/2016,Childrens Services,Services Voluntary Org
REDACTED PERSONAL INFORMATION,6886.7,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,8857.14,05/04/2016,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1168.2,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,509.64,05/04/2016,Health and Adult Services,Private Home Help Domest Misc
REDACTED PERSONAL INFORMATION,6053.99,05/04/2016,Health and Adult Services,Supported Living
ANCHOR FOSTERCARE SERVICES LIMITED,888.99,05/04/2016,Childrens Services,Agency Placements
NPOWER LTD,189001.41,05/04/2016,Regeneration Enterprise and Sk,Electricity
POSTAGE BY PHONE,24000,05/04/2016,Chief Executives,Postage - Royal Mail
HM REVENUES & CUSTOMS,35303.15,05/04/2016,Chief Executives,MIsc
REDACTED PERSONAL INFORMATION,500,05/04/2016,Childrens Services,Children Looked After
REDACTED PERSONAL INFORMATION,587.24,05/04/2016,Childrens Services,Fostering Allowances
CIVICA UK LIMITED,15892.7,05/04/2016,Chief Executives,Computer Software
REDACTED PERSONAL INFORMATION,2040.65,05/04/2016,Capital Housing Revenue Acc,Disturbance
THE GREENWICH SOCIETY,5000,05/04/2016,Chief Executives,Officers Overtime
