name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
MARTIN VITERA LTD,570.81,01/07/2016,Health and Adult Services,Cleaning Materials
BT PLC,12948,01/07/2016,Transportation Schemes,General Payments
ASSOCIATION OF DIRECTORS OF PUBLIC HEALTH,2500,01/07/2016,Health and Adult Services,Subscriptions
STRATFORD ARTS TRUST,1263.6,01/07/2016,Health and Adult Services,Venue Hire
E4 LAW LTD T/A LEXTOX,592.8,01/07/2016,Childrens Services,Drug Testing
EVOLUTION INTERNET MARKETING LLP,3600,01/07/2016,Childrens Services,Other Services
HYDE HOUSING ASSOCIATION,1031.19,01/07/2016,Health and Adult Services,Agency Staff
MANDY N CONSULTANCY LTD,1190.4,01/07/2016,Health and Adult Services,Agency Staff
ADVOCACY IN GREENWICH,800,01/07/2016,Health and Adult Services,Other Services
LINCOLN ANALYTICAL SERVICES LTD,3018,01/07/2016,Comm Safety and Environment,Asbestos Analysis
ADAPTIS SOLUTIONS LIMITED,2472.5,01/07/2016,Regeneration Enterprise and Sk,Services Private Contractor
LINCOLN ANALYTICAL SERVICES LTD,672,01/07/2016,Comm Safety and Environment,Environment Monitoring
ADVOCACY IN GREENWICH,507.5,01/07/2016,Health and Adult Services,Professional Fees
GLYNDON COMMUNITY GROUP,652.8,01/07/2016,Health and Adult Services,Venue Hire
SILENT SOUNDS COMMUNICATIONS LTD,828,01/07/2016,Health and Adult Services,Agency Staff
THE APPROPRIATE ADULT SERVICE LIMITED,3264,01/07/2016,Childrens Services,Appropriate Adults Commi
AMAN KHULLAR,1500,01/07/2016,Housing Services,Landlord Incentive Payments
VANBRUGH GROUP PRACTICE,3199.84,01/07/2016,Health and Adult Services,Community Health Services
ELTHAM PALACE SURGERY,902.49,01/07/2016,Health and Adult Services,Community Health Services
GUY`S & ST THOMAS` NHS FOUNDATION TRUST,23490,01/07/2016,Health and Adult Services,Medical Services
RIVER HEIGHTS TMC,23225,01/07/2016,Housing Services HRA,Services Other Local Author
RIVER HEIGHTS TMC,23225,01/07/2016,Housing Services HRA,Services Other Local Author
RIVER HEIGHTS TMC,23225,01/07/2016,Housing Services HRA,Services Other Local Author
ZURICH INSURANCE PLC,36000,01/07/2016,Corporate,Payments External
T BROWN GROUP LIMITED,5954.54,01/07/2016,Capital Housing Revenue Acc,Adaptations
T BROWN GROUP LIMITED,8339.53,01/07/2016,Capital Housing Revenue Acc,General Payments
THE BOLLYWOOD BRASS BAND LLP,1200,01/07/2016,Chief Executives,Greenwich Festival
IMPERIAL CIVIL ENFORCEMENT SOLUTIONS LTD,7471.73,01/07/2016,Regeneration Enterprise and Sk,Services Private Contractor
TRINITY MIRROR PRINTING WATFORD LIMITED,3561.54,01/07/2016,Chief Executives,Printing External Contract
TRINITY MIRROR PRINTING WATFORD LIMITED,378.95,01/07/2016,Chief Executives,Printing External Contract
D CATCHESIDES LTD,2340,01/07/2016,Housing Services HRA,Direct Orders
JOSEPH`S AMAZING CAMELS LIMITED,2385,01/07/2016,Chief Executives,Other Services
TONY CRANSTON,1230,01/07/2016,Childrens Services,Prof Serv Consult Advice Curri
DAVID WILLIS,568,01/07/2016,Childrens Services,R and M Day To Day
EXCHANGE SUPPLIES LTD,900,01/07/2016,Health and Adult Services,Conference Expenses
CIEH,900,01/07/2016,Comm Safety and Environment,Officers Normal Time
ADAPTIS SOLUTIONS LIMITED,2409.2,01/07/2016,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,2437.7,01/07/2016,Regeneration Enterprise and Sk,Services Private Contractor
CIPFA,680.4,01/07/2016,Chief Executives,Training Expenses
REDACTED PERSONAL INFORMATION,1140,01/07/2016,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,950,01/07/2016,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,950,01/07/2016,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,832,01/07/2016,Health and Adult Services,Payments To Carers
GLIX CATERING,675,01/07/2016,Childrens Services,Other Services
NEWHAM COLLEGE OF FURTHER EDUCATION,3541.67,01/07/2016,Childrens Services,Other Services
REDACTED PERSONAL INFORMATION,13873.02,01/07/2016,Childrens Services,Other Services
CRAFTY WIZARDS LTD,503.5,01/07/2016,Childrens Services,Other Services
GRACE EDUCATION LTD,704.9,01/07/2016,Childrens Services,Other Services
QUAGGY COMMUNITY CENTRE & NURSERY,503.5,01/07/2016,Childrens Services,Other Services
TOP TOTS DAY CARE,1510.5,01/07/2016,Childrens Services,Other Services
ABACUS CARE GREENWICH,2816.15,01/07/2016,Health and Adult Services,Agency Staff
ABACUS CARE GREENWICH,2567,01/07/2016,Health and Adult Services,Agency Staff
GREENWICH LEISURE LIMITED,503.5,01/07/2016,Childrens Services,Other Services
