name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
REDACTED PERSONAL INFORMATION,1998,30/11/2016,Housing Services,Deposits
ARGENT FM LIMITED,23462.21,01/12/2016,Regeneration Enterprise Skills,Expenditure Payments
STANDAGE & CO LTD,209878.13,01/12/2016,Capital Housing Revenue Acc,Windows
STANDAGE & CO LTD,83567.93,01/12/2016,Capital Housing Revenue Acc,Windows
HER MAJESTY`S COURTS SERVICE,6276,01/12/2016,Chief Executives,Court Costs Summons Fees
BERKELEY HOMES ( EAST THAMES) LTD,1736.4,02/12/2016,Transportation Schemes,General Payments
BERKELEY HOMES ( EAST THAMES) LTD,183404.06,02/12/2016,Transportation Schemes,General Payments
BERKELEY HOMES ( EAST THAMES) LTD,252000,02/12/2016,Transportation Schemes,General Payments
BERKELEY HOMES ( EAST THAMES) LTD,-210000,02/12/2016,Transportation Schemes,General Payments
BERKELEY HOMES ( EAST THAMES) LTD,60000,02/12/2016,Transportation Schemes,General Payments
BERKELEY HOMES ( EAST THAMES) LTD,46263.6,02/12/2016,Transportation Schemes,General Payments
HER MAJESTY`S COURTS SERVICE,6750,05/12/2016,Chief Executives,Court Costs Summons Fees
LONDON PENSION FUND AUTHORITY,40040.92,07/12/2016,Chief Executives,LPFA
SELCHP,600000,08/12/2016,Comm Safety and Environment,Services Private Contractor
LONDON COUNCILS,2264499,08/12/2016,Chief Executives,Student Award Payment
CITY OF LONDON CORPORATION,201990,08/12/2016,Chief Executives,Student Award Payment
THAMES WATER UTILITIES,3093418.53,09/12/2016,Housing Revenue Account,Expenditure Payments
HOUSE TO HOME LETTINGS LTD,23010,09/12/2016,Housing Services,Rents Other
CARLTON PROPERTY SERVICES LTD,30358,09/12/2016,Housing Services,Rents Other
RESTORATIVE NOW LIMITED,11400,09/12/2016,Childrens Services,Training Expenses
RESTORATIVE NOW LIMITED,7200,09/12/2016,Childrens Services,Training Expenses
RESTORATIVE NOW LIMITED,11400,09/12/2016,Childrens Services,Training Expenses
BARNES GOLD LIMITED,81563,13/12/2016,Housing Services,Rents Other
J B RINEY & CO LTD,840197.58,16/12/2016,Regeneration Enterprise Skills,Expenditure Payments
J B RINEY & CO LTD,164089.87,16/12/2016,Regeneration Enterprise Skills,Expenditure Payments
J B RINEY & CO LTD,273823.12,16/12/2016,Regeneration Enterprise Skills,Expenditure Payments
SQUIRE PATTON BOGGS (UK) LLP,750000,16/12/2016,Housing Services HRA,MIsc
SQUIRE PATTON BOGGS (UK) LLP,3000,16/12/2016,Housing Services HRA,MIsc
BLOOMBERG FINANCE LP,6841,16/12/2016,Corporate Accounts,Logotech Charges
BLOOMBERG FINANCE LP,6829,16/12/2016,Corporate Accounts,Logotech Charges
MASHER BROTHERS LTD,60318.29,20/12/2016,Capital Housing Revenue Acc,Refurbishment
BEVAN BRITTAN LLP,358085.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,277185.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,943.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-786,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,401285.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,358415.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,1057.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-881,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,385220.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,552940.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,883.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-736,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,531020.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,477020.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,493220.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,525485.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,395885.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,334325.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,476885.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,374470.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,883.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-736,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,374285.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,525485.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,197940.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,379685.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,509285.01,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,823.2,20/12/2016,NS General Fund,Property Purchase Normal
BEVAN BRITTAN LLP,-686,20/12/2016,NS General Fund,Property Purchase Normal
HM REVENUE & CUSTOMS,3915.4,22/12/2016,Chief Executives,MIsc
LEE VALLEY REGIONAL PARK AUTHORITY,17699.23,23/12/2016,Chief Executives,Lee Valley Park Levy
PINSENT MASONS LLP CLIENT ACCOUNT,1080000,23/12/2016,Other General Fund,Property Purchase Normal
REDACTED PERSONAL INFORMATION,4154.64,29/12/2016,Housing Services,Misc Landlord Payments
ENVIRONMENT AGENCY,39350.5,30/12/2016,Chief Executives,TWA Levy
ENVIRONMENT AGENCY,913.75,30/12/2016,Chief Executives,SWA Levy
REDACTED PERSONAL INFORMATION,2070,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1875,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1815,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1815,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1920,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1890,30/12/2016,Housing Services,Deposits
REDACTED PERSONAL INFORMATION,1890,30/12/2016,Housing Services,Deposits
SOUTHEAST SERVICES,1950,30/12/2016,Housing Services,Deposits
SOUTHEAST SERVICES,1950,30/12/2016,Housing Services,Deposits
