name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
REDACTED PERSONAL INFORMATION,"1,285.88", 02/10/2017,Chief Executives,Income Receipts
BT PLC,"1,560.67", 02/10/2017,Chief Executives,Telephones
REDACTED PERSONAL INFORMATION,950.00, 02/10/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,950.00, 02/10/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,970.00, 02/10/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,950.00, 02/10/2017,Childrens Services,Services Other Local Author
DAISY COMMUNICATIONS LTD,802.56, 02/10/2017,Chief Executives,Telephones
REDACTED PERSONAL INFORMATION,"1,050.00", 02/10/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"1,330.00", 02/10/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,630.00, 02/10/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"4,400.00", 02/10/2017,Childrens Services,Services Other Local Author
BAM CONSTRUCTION LIMITED,"2,908,709.05", 02/10/2017,Modernisation,Newbuild
ERITH CONTRACTORS LTD,"537,293.36", 02/10/2017,Other General Fund,Demolition
KOOK LIMITED T/A MED KITCHEN EVENTS,"3,461.40", 02/10/2017,Chief Executives,Other Services
THAMES MOORINGS LONDON LTD,"12,600.00", 02/10/2017,Chief Executives,Other Services
PROTOCOL EDUCATION LTD,532.80, 02/10/2017,Childrens Services,Other Services
PROTOCOL EDUCATION LTD,532.80, 02/10/2017,Childrens Services,Other Services
REDACTED PERSONAL INFORMATION,536.00, 02/10/2017,Chief Executives,Agency Staff
REDACTED PERSONAL INFORMATION,"1,560.00", 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,"1,440.00", 02/10/2017,Chief Executives,Other Services
REDACTED PERSONAL INFORMATION,"1,800.00", 02/10/2017,Chief Executives,Other Services
REDACTED PERSONAL INFORMATION,"1,083.60", 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,"2,167.20", 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,627.60, 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,969.60, 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,"1,083.60", 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,969.60, 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,"1,026.00", 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,969.60, 02/10/2017,Chief Executives,Professional Fees
REDACTED PERSONAL INFORMATION,627.60, 02/10/2017,Chief Executives,Professional Fees
